"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2019 Dollars, 2004-05 to 2019-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2019 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change
Illinois,"$2,696","$2,819","$2,901","$3,005","$3,029","$3,251","$3,542","$3,580","$3,639","$3,727","$3,816","$4,030","$4,154","$4,255","$4,213","$4,198",0%,10%,,"$8,797","$9,078","$10,159","$11,208","$11,689","$12,403","$12,909","$13,208","$13,627","$13,818","$13,774","$14,005","$14,329","$14,360","$14,254","$14,166",-1%,3%
Indiana,"$3,500","$3,582","$3,634","$3,699","$3,659","$3,907","$4,050","$4,018","$4,099","$4,184","$4,499","$4,648","$4,753","$4,800","$4,785","$4,840",1%,8%,,"$7,921","$8,082","$8,264","$8,468","$8,424","$9,106","$9,401","$9,475","$9,760","$9,803","$9,728","$9,804","$9,857","$9,832","$9,659","$9,675",0%,-1%
Iowa,"$3,956","$4,057","$4,037","$4,103","$4,096","$4,409","$4,604","$4,669","$4,761","$4,819","$4,871","$5,092","$5,238","$5,314","$5,420","$5,459",1%,12%,,"$7,325","$7,378","$7,439","$7,659","$7,504","$7,997","$8,421","$8,588","$8,770","$8,608","$8,459","$8,469","$8,817","$9,182","$9,245","$9,364",1%,11%
Kansas,"$2,394","$2,427","$2,379","$2,375","$2,314","$2,527","$2,684","$2,682","$2,819","$2,794","$2,885","$2,988","$3,142","$3,176","$3,200","$3,194",0%,11%,,"$5,746","$6,170","$6,573","$7,078","$7,010","$7,520","$7,799","$7,859","$8,153","$8,489","$8,891","$9,077","$9,496","$9,308","$9,255","$9,196",-1%,3%
Kentucky,"$3,752","$3,950","$4,123","$4,250","$4,297","$4,479","$4,590","$4,601","$4,705","$4,747","$4,804","$5,002","$5,235","$5,346","$5,412","$5,460",1%,14%,,"$6,063","$6,603","$7,267","$7,734","$7,942","$8,478","$8,849","$9,056","$9,476","$9,556","$9,916","$10,285","$10,630","$10,817","$10,909","$10,902",0%,10%
Louisiana,"$2,354","$2,417","$2,364","$2,359","$2,271","$2,441","$2,603","$3,067","$3,361","$3,713","$3,903","$4,268","$4,323","$4,339","$4,267","$4,189",-2%,7%,,"$4,787","$4,852","$4,753","$4,718","$4,751","$5,102","$5,570","$5,958","$6,579","$7,255","$7,888","$8,740","$9,524","$9,758","$9,678","$9,614",-1%,22%
Maine,"$3,515","$3,692","$3,689","$3,843","$3,681","$3,855","$3,837","$3,781","$3,733","$3,732","$3,759","$3,753","$3,770","$3,794","$3,830","$3,767",-2%,0%,,"$7,587","$7,964","$8,341","$9,034","$9,422","$10,179","$10,527","$10,637","$10,486","$10,315","$10,278","$10,292","$10,328","$10,377","$10,396","$10,478",1%,2%
Maryland,"$4,034","$4,061","$3,936","$4,006","$3,883","$4,044","$4,198","$4,211","$4,352","$4,384","$4,452","$4,595","$4,709","$4,748","$4,766","$4,782",0%,7%,,"$9,171","$9,371","$9,098","$9,009","$8,622","$8,907","$9,105","$9,041","$9,194","$9,314","$9,350","$9,851","$9,977","$10,157","$10,087","$10,115",0%,8%
Massachusetts,"$4,553","$4,593","$4,512","$4,550","$4,578","$5,112","$5,407","$5,470","$5,727","$5,648","$5,717","$6,125","$6,217","$6,331","$6,384","$6,580",3%,15%,,"$9,529","$9,631","$9,561","$9,715","$9,610","$11,007","$11,166","$11,544","$11,926","$11,805","$11,812","$12,486","$13,127","$13,406","$13,458","$13,641",1%,15%
Michigan,"$2,703","$2,792","$2,813","$2,869","$2,864","$3,011","$3,170","$3,249","$3,407","$3,542","$3,637","$3,737","$3,824","$3,952","$3,931","$3,991",2%,10%,,"$8,526","$9,319","$9,674","$10,469","$10,649","$11,629","$11,928","$12,312","$12,535","$12,741","$12,490","$12,895","$13,302","$13,689","$13,690","$13,771",1%,10%
Minnesota,"$5,141","$5,269","$5,376","$5,476","$5,321","$5,646","$5,813","$5,861","$6,013","$5,902","$5,796","$5,795","$5,731","$5,712","$5,544","$5,605",1%,-3%,,"$8,755","$9,118","$9,479","$9,605","$9,701","$10,470","$11,047","$11,377","$11,603","$11,494","$11,377","$11,645","$11,745","$11,886","$11,740","$11,834",1%,4%
Mississippi,"$2,094","$2,190","$2,135","$2,105","$2,065","$2,210","$2,494","$2,504","$2,537","$2,628","$2,724","$2,779","$2,954","$3,239","$3,248","$3,332",3%,22%,,"$5,406","$5,494","$5,611","$5,859","$5,770","$5,900","$6,230","$6,443","$6,897","$7,211","$7,386","$7,684","$7,976","$8,333","$8,568","$8,596",0%,16%
